ID,Longitude,Latitude,Altitude,North,East,Height,Yaw,Roll,Pitch
288414,118.868226,32.017267,9.72,-1712679.987,3694512.796,972,0.913645,0.015638,-0.030508
288415,118.868225,32.017268,9.72,-1712672.195,3694503.373,972,0.91258,0.015376,-0.029985
288416,118.868224,32.017269,9.72,-1712664.403,3694493.95,972,0.911533,0.01501,-0.029461
288417,118.868223,32.017269,9.72,-1712656.61,3694483.585,972,0.910434,0.014748,-0.02899
288418,118.868222,32.01727,9.72,-1712648.818,3694474.162,972,0.909317,0.014573,-0.028554
288419,118.868221,32.017271,9.72,-1712641.025,3694464.74,972,0.908165,0.014486,-0.028257
288420,118.86822,32.017271,9.71,-1712632.12,3694455.317,971,0.906978,0.014416,-0.027978
288421,118.868219,32.017272,9.71,-1712624.328,3694445.894,971,0.905774,0.014294,-0.027768
288422,118.868218,32.017273,9.71,-1712616.535,3694436.471,971,0.904552,0.014155,-0.027698
288423,118.868217,32.017274,9.71,-1712608.743,3694427.049,971,0.903295,0.013998,-0.027733
288424,118.868216,32.017274,9.71,-1712600.95,3694417.626,971,0.902056,0.013823,-0.027873
288425,118.868215,32.017275,9.71,-1712592.045,3694408.203,971,0.9008,0.013806,-0.028135
288426,118.868214,32.017276,9.71,-1712584.252,3694397.838,971,0.89949,0.013788,-0.028501
288427,118.868213,32.017276,9.71,-1712576.46,3694388.415,971,0.898146,0.013788,-0.029042
288428,118.868212,32.017277,9.71,-1712568.668,3694379.935,971,0.896785,0.013771,-0.029409
288429,118.868211,32.017278,9.71,-1712559.762,3694370.512,971,0.895389,0.013963,-0.029828
288430,118.86821,32.017279,9.71,-1712551.97,3694361.089,971,0.893992,0.014329,-0.030526
288431,118.868209,32.017279,9.71,-1712544.177,3694351.666,971,0.892561,0.014626,-0.031084
288432,118.868208,32.01728,9.72,-1712536.385,3694342.244,972,0.891113,0.014853,-0.031765
288433,118.868207,32.017281,9.72,-1712527.48,3694332.821,972,0.889682,0.014923,-0.032446
288434,118.868206,32.017282,9.72,-1712519.687,3694323.398,972,0.888268,0.01508,-0.033109
288435,118.868205,32.017282,9.72,-1712511.895,3694313.975,972,0.886837,0.015132,-0.033737
288436,118.868204,32.017283,9.72,-1712504.102,3694305.495,972,0.885406,0.01508,-0.034261
288437,118.868203,32.017284,9.72,-1712495.197,3694296.072,972,0.883974,0.014905,-0.03461
288438,118.868202,32.017284,9.72,-1712487.405,3694286.649,972,0.88256,0.014731,-0.034959
288439,118.868201,32.017285,9.72,-1712479.612,3694277.227,972,0.881147,0.014521,-0.035186
288440,118.8682,32.017286,9.72,-1712471.82,3694268.746,972,0.879716,0.014434,-0.035168
288441,118.868199,32.017287,9.72,-1712462.914,3694259.323,972,0.878232,0.014382,-0.034959
288442,118.868198,32.017287,9.72,-1712455.122,3694249.901,972,0.876731,0.014277,-0.034592
288443,118.868197,32.017288,9.72,-1712447.33,3694241.42,972,0.875178,0.01405,-0.034121
288444,118.868196,32.017289,9.72,-1712438.424,3694231.997,972,0.87352,0.013928,-0.033458
288445,118.868195,32.017289,9.72,-1712430.632,3694223.517,972,0.871827,0.013823,-0.032725
288446,118.868194,32.01729,9.72,-1712422.839,3694214.094,972,0.870117,0.013596,-0.031974
288447,118.868193,32.017291,9.71,-1712415.047,3694205.614,971,0.868336,0.013404,-0.031311
288448,118.868193,32.017292,9.71,-1712406.141,3694198.075,971,0.866434,0.013212,-0.030683
288449,118.868193,32.017292,9.71,-1712406.141,3694198.075,971,0.866434,0.013212,-0.030683
288450,118.868192,32.017292,9.71,-1712398.349,3694189.595,971,0.864479,0.012933,-0.030229
288451,118.868191,32.017293,9.7,-1712390.557,3694182.057,970,0.862507,0.012479,-0.02988
288452,118.86819,32.017294,9.7,-1712382.764,3694174.518,970,0.860482,0.012078,-0.029758
288453,118.868189,32.017294,9.7,-1712374.972,3694166.98,970,0.858318,0.011711,-0.029828
288454,118.868189,32.017295,9.7,-1712367.179,3694159.442,970,0.856032,0.011257,-0.02995
288455,118.868188,32.017296,9.7,-1712359.387,3694151.904,970,0.853675,0.010612,-0.030124
288456,118.868187,32.017297,9.69,-1712351.595,3694144.366,969,0.851232,0.009879,-0.030247
288457,118.868186,32.017297,9.69,-1712342.689,3694136.827,969,0.848701,0.00918,-0.030473
288458,118.868185,32.017298,9.69,-1712334.897,3694129.289,969,0.846048,0.008412,-0.030561
288459,118.868184,32.017299,9.69,-1712327.104,3694121.751,969,0.843291,0.007645,-0.030683
288460,118.868184,32.0173,9.68,-1712319.312,3694114.213,968,0.840481,0.006859,-0.03077
288461,118.868183,32.0173,9.68,-1712311.52,3694106.674,968,0.837619,0.006039,-0.0307
288462,118.868182,32.017301,9.68,-1712303.727,3694098.194,968,0.834599,0.005445,-0.030631
288463,118.868181,32.017302,9.68,-1712295.935,3694089.714,968,0.83151,0.004992,-0.030421
288464,118.86818,32.017302,9.68,-1712288.143,3694081.233,968,0.828386,0.004485,-0.030369
288465,118.868179,32.017303,9.68,-1712279.237,3694073.695,968,0.825209,0.003997,-0.030404
288466,118.868178,32.017304,9.68,-1712271.445,3694065.214,968,0.821945,0.003578,-0.030386
288467,118.868178,32.017305,9.68,-1712263.652,3694057.676,968,0.818629,0.003229,-0.030421
288468,118.868177,32.017305,9.68,-1712255.86,3694049.196,968,0.815313,0.002793,-0.030473
288469,118.868176,32.017306,9.68,-1712248.068,3694041.657,968,0.811927,0.002339,-0.030543
288470,118.868175,32.017307,9.68,-1712240.275,3694033.177,968,0.808489,0.001937,-0.0307
288471,118.868174,32.017307,9.69,-1712232.483,3694025.639,969,0.804998,0.001466,-0.030875
288472,118.868173,32.017308,9.69,-1712223.577,3694018.1,969,0.801472,0.001012,-0.031206
288473,118.868173,32.017309,9.69,-1712215.785,3694010.562,969,0.797912,0.000611,-0.031468
288474,118.868172,32.01731,9.69,-1712207.993,3694002.082,969,0.794282,0.000332,-0.031782
288475,118.868171,32.01731,9.69,-1712200.2,3693994.544,969,0.790582,0.000087,-0.032114
288476,118.86817,32.017311,9.69,-1712192.408,3693987.005,969,0.786812,-0.000209,-0.032393
288477,118.868169,32.017312,9.69,-1712184.616,3693979.467,969,0.783007,-0.000506,-0.032603
288478,118.868169,32.017312,9.69,-1712175.71,3693972.871,969,0.779185,-0.00082,-0.032638
288479,118.868168,32.017313,9.69,-1712167.918,3693965.333,969,0.775328,-0.001152,-0.032742
288480,118.868167,32.017314,9.69,-1712160.125,3693957.795,969,0.771383,-0.001414,-0.032917
288481,118.868166,32.017314,9.69,-1712152.333,3693950.257,969,0.767351,-0.001676,-0.032847
